algorithm,n,k,avg_time_ms,stddev_time_ms,avg_memory_bytes,repetitions_per_trial
Count Sort,100000,1000,2.767411,3.729911,404004,22
ARU Count Sort,100000,1000,0.649891,0.085766,1600768,50
Quick Sort,100000,1000,12.231785,0.089638,2436686,18
Merge Sort,100000,1000,11.637770,0.153054,2899197,18
Count Sort,100000,10000,0.351355,0.019961,440004,50
ARU Count Sort,100000,10000,0.596791,0.081556,1602424,50
Quick Sort,100000,10000,17.775228,0.150610,2852508,11
Merge Sort,100000,10000,13.251046,0.796901,4801971,16
Count Sort,100000,100000,0.963458,0.017618,800004,50
ARU Count Sort,100000,100000,0.547844,0.013500,1607608,50
Quick Sort,100000,100000,24.015658,0.203070,8162270,9
Merge Sort,100000,100000,13.387982,0.156592,3204043,16
Count Sort,100000,1000000,1.548483,0.038467,4400004,50
ARU Count Sort,100000,1000000,0.561555,0.019211,1624024,50
Quick Sort,100000,1000000,26.371768,0.222018,6758108,8
Merge Sort,100000,1000000,13.353546,0.060040,5827816,15
Count Sort,100000,10000000,5.277619,0.049532,40400004,33
ARU Count Sort,100000,10000000,0.595889,0.029325,1675912,50
Quick Sort,100000,10000000,26.248319,0.186730,0,8
Merge Sort,100000,10000000,13.394500,0.047903,5377539,16
Count Sort,500000,1000,4.934985,1.034883,2004004,50
ARU Count Sort,500000,1000,5.985792,0.921933,8000768,37
Quick Sort,500000,1000,95.273847,4.512054,7290698,5
Merge Sort,500000,1000,70.693795,0.986503,3452937,5
Count Sort,500000,10000,5.387746,1.618986,2040004,50
ARU Count Sort,500000,10000,5.812825,1.022471,8002424,10
Quick Sort,500000,10000,121.641350,1.297379,14008556,5
Merge Sort,500000,10000,80.480727,1.148926,3013124,5
Count Sort,500000,100000,5.763750,0.663636,2400004,50
ARU Count Sort,500000,100000,5.884424,0.273909,8007608,50
Quick Sort,500000,100000,174.225493,8.279448,14097338,5
Merge Sort,500000,100000,85.535218,0.750733,219418,5
Count Sort,500000,1000000,11.474809,2.907424,6000004,32
ARU Count Sort,500000,1000000,6.348168,0.241072,8024024,50
Quick Sort,500000,1000000,199.755586,3.408862,3188878,5
Merge Sort,500000,1000000,87.738371,3.312960,3740064,5
Count Sort,500000,10000000,20.294025,4.344709,42000004,18
ARU Count Sort,500000,10000000,6.897525,1.586678,8075912,50
Quick Sort,500000,10000000,193.123691,8.665906,15753285,5
Merge Sort,500000,10000000,89.333852,1.090945,1446335,5
