algorithm,n,k,avg_time_ms,avg_memory_bytes
Count Sort,10000,1000,0.210747,135835
ARU Count Sort,10000,1000,0.213133,248021
Quick Sort,10000,1000,2.223591,888298
Merge Sort,10000,1000,1.011672,590842
Count Sort,10000,10000,0.172792,223145
ARU Count Sort,10000,10000,0.059240,245025
Quick Sort,10000,10000,1.563102,1147481
Merge Sort,10000,10000,1.043339,546173
Count Sort,10000,100000,0.123918,434922
ARU Count Sort,10000,100000,0.057576,302482
Quick Sort,10000,100000,1.802973,978062
Merge Sort,10000,100000,1.054318,598287
Count Sort,10000,1000000,0.498255,426194
ARU Count Sort,10000,1000000,0.061525,272331
Quick Sort,10000,1000000,1.888128,965084
Merge Sort,10000,1000000,1.059598,574838
Count Sort,10000,5000000,1.900762,1912017
ARU Count Sort,10000,5000000,0.063350,207771
Quick Sort,10000,5000000,1.876335,1091726
Merge Sort,10000,5000000,1.042401,525211
Count Sort,10000,10000000,3.625884,412946
ARU Count Sort,10000,10000000,0.065618,291573
Quick Sort,10000,10000000,1.830991,878572
Merge Sort,10000,10000000,1.047269,564554
